col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48
59.166.0.9,43241,149.171.126.9,53,udp,CON,0.001063,130,162,31,29,0,0,dns,489181.5938,609595.5,2,2,0,0,0,0,65,81,0,0,0,0,1421927843,1421927843,0.011,0.009,0,0,0,0,0,0,0,0,2,3,6,5,1,1,1,,0
175.45.176.1,1043,149.171.126.18,53,udp,INT,0.000011,114,0,254,0,0,0,dns,41454544,0,2,0,0,0,0,0,57,0,0,0,0,0,1421932157,1421932157,0.011,0,0,0,0,0,2,0,0,0,20,20,7,8,7,3,7,Generic,1
175.45.176.1,0,149.171.126.12,0,srp,INT,0.000004,200,0,254,0,0,0,-,200000000,0,2,0,0,0,0,0,100,0,0,0,0,0,1421930716,1421930716,0.004,0,0,0,0,0,2,0,0,0,14,14,4,11,4,4,4, Fuzzers,1
175.45.176.1,47439,149.171.126.18,53,udp,INT,0.000034,114,0,254,0,0,0,dns,13411764,0,2,0,0,0,0,0,57,0,0,0,0,0,1421932405,1421932405,0.034,0,0,0,0,0,2,0,0,0,14,14,4,5,4,4,4,Generic,1
175.45.176.0,9125,149.171.126.12,80,tcp,FIN,0.193452,752,4210,62,252,2,2,http,27996.60938,156690.0313,10,10,255,255,1565975853,581072676,75,421,1,1663,1078.189843,1658.158607,1421928956,1421928956,21.494667,19.207778,0.059319,0.006564,0.052755,0,1,1,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.1,1043,149.171.126.18,53,udp,INT,0.000005,114,0,254,0,0,0,dns,91200000,0,2,0,0,0,0,0,57,0,0,0,0,0,1421931007,1421931007,0.005,0,0,0,0,0,2,0,0,0,9,9,2,2,2,2,2,Generic,1
175.45.176.2,11328,149.171.126.14,80,tcp,FIN,0.335233,830,1414,62,252,2,2,http,17826.40625,29543.63086,10,8,255,255,2851413386,2673282436,83,177,1,284,1835.463503,62.922523,1421929597,1421929598,37.248111,45.233285,0.073751,0.01785,0.055901,0,1,1,0,0,1,1,1,1,1,1,1,DoS,1
175.45.176.0,0,149.171.126.13,0,crtp,INT,0.000003,200,0,254,0,0,0,-,266666656,0,2,0,0,0,0,0,100,0,0,0,0,0,1424223240,1424223240,0.003,0,0,0,0,0,2,,, ,4,4,2,2,2,2,4,DoS,1
175.45.176.3,49092,149.171.126.18,1723,tcp,FIN,0.452512,2292,268,254,252,2,1,-,36471.96094,3960.115967,10,6,255,255,1146636734,1199164632,229,45,0,0,2402.647458,114.527484,1424221797,1424221798,48.053444,76.799602,0.135316,0.068506,0.06681,0,1,,, ,10,10,3,2,2,1,10, Fuzzers ,1
175.45.176.0,0,149.171.126.11,0,ospf,INT,0.466699,2858,0,254,0,0,0,-,46282.50781,0,18,0,0,0,0,0,159,0,0,0,32.106723,0,1424221677,1424221677,27.452883,0,0,0,0,0,2,,, ,1,1,1,1,1,1,1,DoS,1
59.166.0.6,17890,149.171.126.8,14462,tcp,FIN,0.094571,4222,63402,31,29,7,30,-,352243.2813,5290924,72,74,255,255,808796085,842757650,59,857,0,0,78.627389,77.702531,1421928042,1421928042,1.326944,1.287301,0.000809,0.000594,0.000215,0,0,0,0,0,4,6,4,4,1,1,1,,0
59.166.0.9,24613,149.171.126.7,53,udp,CON,0.001051,146,178,31,29,0,0,dns,555661.3125,677450.0625,2,2,0,0,0,0,73,89,0,0,0,0,1421927606,1421927606,0.01,0.009,0,0,0,0,0,0,0,0,4,4,1,3,1,1,1,,0
59.166.0.3,51056,149.171.126.4,53,udp,CON,0.001148,130,162,31,29,0,0,dns,452961.6563,564459.9375,2,2,0,0,0,0,65,81,0,0,0,0,1421927700,1421927700,0.012,0.009,0,0,0,0,0,0,0,0,1,3,1,1,1,1,1,,0
175.45.176.0,38153,149.171.126.17,80,tcp,FIN,0.198512,802,13500,62,252,2,6,http,29096.47656,510074.9375,10,16,255,255,2413733788,1261722326,80,844,1,6163,1131.757613,1303.705965,1421929064,1421929064,22.056889,12.072267,0.052175,0.007269,0.044906,0,1,1,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.1,0,149.171.126.12,0,unas,INT,0.000003,200,0,254,0,0,0,-,266666656,0,2,0,0,0,0,0,100,0,0,0,0,0,1421930796,1421930796,0.003,0,0,0,0,0,2,0,0,0,2,2,2,6,2,2,2,Exploits,1
59.166.0.8,55053,149.171.126.2,32948,tcp,FIN,0.005288,8928,320,31,29,4,1,ftp-data,12543116,403933.4063,14,6,255,255,2214127055,2225723307,638,53,0,0,20.075488,1.426528,1421928206,1421928206,0.406769,0.937,0.000983,0.000444,0.000539,0,0,0,0,0,3,3,5,5,1,1,4,,0
175.45.176.1,28003,149.171.126.15,80,tcp,FIN,0.948346,798,1082,254,252,2,2,http,6065.296875,8216.410156,10,10,255,255,1042114303,3446348686,80,108,0,0,6364.668101,157.497281,1421931348,1421931349,105.371778,97.295219,0.177239,0.071939,0.1053,0,1,0,0,0,1,2,2,4,1,1,2,DoS,1
175.45.176.1,20738,149.171.126.14,25,tcp,FIN,2.951424,83376,2124,62,252,32,8,smtp,223170.9219,5553.929199,80,28,255,255,745067460,1644326378,1042,76,0,0,3356.59367,137.329766,1421930845,1421930848,37.348405,106.314039,0.191838,0.080941,0.110897,0,1,0,0,0,1,1,2,5,1,1,1,Exploits,1
175.45.176.1,1043,149.171.126.18,53,udp,INT,0.000006,114,0,254,0,0,0,dns,76000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1421933182,1421933182,0.006,0,0,0,0,0,2,0,0,0,3,3,3,4,3,3,3,Generic,1
175.45.176.0,30073,149.171.126.10,520,udp,INT,0.000011,104,0,254,0,0,0,-,37818180,0,2,0,0,0,0,0,52,0,0,0,0,0,1421928357,1421928357,0.011,0,0,0,0,0,2,0,0,0,5,5,2,3,2,2,2, Fuzzers,1
59.166.0.1,33095,149.171.126.6,143,tcp,FIN,16.425259,7810,14540,31,29,30,32,-,3772.726074,7025.764648,122,126,255,255,3418913472,3420014801,64,115,0,0,15800.29062,15408.13571,1421927438,1421927454,135.742651,131.397532,0.000718,0.000559,0.000159,0,0,0,0,0,5,5,5,3,1,1,1,,0
59.166.0.4,1341,149.171.126.3,2214,tcp,FIN,0.020703,3078,30506,31,29,7,18,-,1165821.375,11552336,50,50,255,255,1951987696,4101803346,62,610,0,0,23.640189,0.561185,1421927650,1421927650,0.415163,0.411878,0.000669,0.000514,0.000155,0,0,0,0,0,7,9,3,4,1,1,1,,0
175.45.176.1,0,149.171.126.12,0,ipcomp,INT,0.000007,200,0,254,0,0,0,-,114285712,0,2,0,0,0,0,0,100,0,0,0,0,0,1421930712,1421930712,0.007,0,0,0,0,0,2,0,0,0,14,13,5,5,5,5,5,DoS,1
175.45.176.0,0,149.171.126.13,0,ax.25,INT,0.000009,200,0,254,0,0,0,-,88888888,0,2,0,0,0,0,0,100,0,0,0,0,0,1424223221,1424223221,0.009,0,0,0,0,0,2,,, ,6,6,2,10,2,2,6,Exploits,1
59.166.0.9,34622,149.171.126.3,17018,udp,CON,0.001659,528,304,31,29,0,0,-,1909584.125,1099457.5,4,4,0,0,0,0,132,76,0,0,0.602691,0.287324,1421927733,1421927733,0.431667,0.206667,0,0,0,0,0,0,0,0,6,8,10,5,1,1,4,,0
175.45.176.0,63557,149.171.126.15,445,tcp,FIN,3.659126,994,788,254,252,3,2,-,1993.918701,1552.283203,12,10,255,255,157018620,2647785521,83,79,0,0,20480.81513,659.230188,1421928103,1421928106,326.244011,387.821344,0.319917,0.168733,0.151184,0,1,0,0,0,3,1,1,2,1,1,1, Fuzzers,1
59.166.0.2,24631,149.171.126.3,1968,tcp,FIN,0.007473,424,8824,31,29,1,4,ftp-data,397163.125,8659441,8,12,255,255,549935877,2702489950,53,735,0,0,70.064016,42.762042,1421927745,1421927745,1.021714,0.627545,0.000719,0.000566,0.000153,0,0,0,0,0,3,3,7,6,1,1,5,,0
175.45.176.3,19849,149.171.126.15,179,tcp,FIN,0.526289,900,556,254,252,5,3,-,12829.45313,7615.587891,16,10,255,255,3844022590,1292821525,56,56,0,0,1701.315975,70.023328,1421930338,1421930338,35.085935,54.542445,0.06651,0.034629,0.031881,0,1,0,0,0,9,9,2,2,2,1,2, Fuzzers,1
175.45.176.3,0,149.171.126.16,0,udp,INT,0.000002,2634,0,254,0,0,0,-,5268000256,0,2,0,0,0,0,0,1317,0,0,0,0,0,1421928038,1421928038,0.002,0,0,0,0,0,2,0,0,0,3,2,1,2,1,1,1,DoS,1
175.45.176.0,1043,149.171.126.12,53,udp,INT,0.000005,114,0,254,0,0,0,dns,91200000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424223246,1424223246,0.005,0,0,0,0,0,2,,, ,15,15,8,11,8,8,15,Generic,1
59.166.0.5,14655,149.171.126.1,6881,tcp,FIN,1.486998,1540,1644,31,29,4,4,-,7768.672363,8355.088867,16,18,255,255,1333539868,388366843,96,91,0,0,5843.155061,165.229328,1421927444,1421927445,99.1014,81.279648,0.106023,0.105243,0.00078,0,0,0,0,0,7,12,13,8,6,1,4,,0
175.45.176.3,21564,149.171.126.18,25,tcp,FIN,2.230532,865,1598,62,252,4,8,-,5448.027832,2908.723145,16,20,255,255,2450096919,821991239,54,80,0,0,7537.014665,5686.632868,1421930836,1421930838,140.076869,117.39642,0,0,0,0,1,0,0,0,5,2,2,3,1,1,2,Exploits,1
175.45.176.2,2901,149.171.126.15,58464,tcp,FIN,0.899321,364,890,62,252,1,2,ftp-data,2837.696289,6929.672363,8,8,255,255,3775010838,1166909795,46,111,0,0,8354.295233,213.303219,1421928904,1421928905,128.474433,113.066711,0.160085,0.093555,0.06653,0,1,0,0,0,1,1,2,3,1,1,2,Exploits,1
59.166.0.8,24264,149.171.126.9,25,tcp,FIN,0.021357,37268,3276,31,29,18,8,smtp,13691811,1196797.25,52,40,255,255,1774966933,3925686019,717,82,0,0,22.589786,1.029925,1421927754,1421927754,0.411235,0.532154,0.000763,0.000598,0.000165,0,0,0,0,0,1,1,2,7,1,1,2,,0
